member_id	first_name	last_name	position	iso2c	country	group_code	group_label	group_short_label
88882	Victor	NEGRESCU	For	RO	Romania	SD	Progressive Alliance of Socialists and Democrats	S&D
233862	Matjaž	NEMEC	For	SI	Slovenia	SD	Progressive Alliance of Socialists and Democrats	S&D
239260	Denis	NESCI	Abstain	IT	Italy	ECR	European Conservatives and Reformists	ECR
254721	Vânia	NETO	For	PT	Portugal	EPP	European People’s Party	EPP
197464	Hannah	NEUMANN	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
124784	Dan	NICA	For	RO	Romania	SD	Progressive Alliance of Socialists and Democrats	S&D
4289	Angelika	NIEBLER	For	DE	Germany	EPP	European People’s Party	EPP
124701	Luděk	NIEDERMAYER	For	CZ	Czechia	EPP	European People’s Party	EPP
197465	Niklas	NIENASS	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197802	Ville	NIINISTÖ	For	FI	Finland	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197734	Lefteris	NIKOLAOU-ALAVANOS	Did Not Vote	GR	Greece	NI	Non-attached Members	Non-attached
238639	Johan	NISSINEN	For	SE	Sweden	ECR	European Conservatives and Reformists	ECR
202112	Gheorghe-Vlad	NISTOR	Did Not Vote	RO	Romania	EPP	European People’s Party	EPP
124836	Maria	NOICHL	For	DE	Germany	SD	Progressive Alliance of Socialists and Democrats	S&D
28294	Ljudmila	NOVAK	For	SI	Slovenia	EPP	European People’s Party	EPP
107212	Andrey	NOVAKOV	For	BG	Bulgaria	EPP	European People’s Party	EPP
197889	Grace	O'SULLIVAN	For	IE	Ireland	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197542	Janina	OCHOJSKA	Did Not Vote	PL	Poland	EPP	European People’s Party	EPP
197432	Jan-Christoph	OETJEN	For	DE	Germany	RENEW	Renew Europe	Renew
237779	Carina	OHLSSON	For	SE	Sweden	SD	Progressive Alliance of Socialists and Democrats	S&D
