member_id	first_name	last_name	position	iso2c	country	group_code	group_label	group_short_label
197742	Isabel	GARCÍA MUÑOZ	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
28298	Iratxe	GARCÍA PÉREZ	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
1992	José Manuel	GARCÍA-MARGALLO Y MARFIL	For	ES	Spain	EPP	European People’s Party	EPP
96991	Eider	GARDIAZABAL RUBIAL	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
197628	Jean-Paul	GARRAUD	Against	FR	France	ID	Identity and Democracy	ID
239255	Matteo	GAZZINI	For	IT	Italy	EPP	European People’s Party	EPP
183916	Alexandra	GEESE	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
96833	Jens	GEIER	For	DE	Germany	SD	Progressive Alliance of Socialists and Democrats	S&D
197794	Chiara	GEMMA	Abstain	IT	Italy	ECR	European Conservatives and Reformists	ECR
197416	Giorgos	GEORGIOU	Did Not Vote	CY	Cyprus	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
197819	Alexis	GEORGOULIS	Did Not Vote	GR	Greece	NI	Non-attached Members	Non-attached
251874	Niels	GEUKING	For	DE	Germany	EPP	European People’s Party	EPP
209140	Vlad	GHEORGHE	For	RO	Romania	RENEW	Renew Europe	Renew
239256	Paola	GHIDONI	Against	IT	Italy	ID	Identity and Democracy	ID
197804	Dino	GIARRUSSO	For	IT	Italy	NI	Non-attached Members	Non-attached
124807	Jens	GIESEKE	For	DE	Germany	EPP	European People’s Party	EPP
253008	Linus	GLANZELIUS	For	SE	Sweden	SD	Progressive Alliance of Socialists and Democrats	S&D
202036	Sunčana	GLAVAK	Did Not Vote	HR	Croatia	EPP	European People’s Party	EPP
197694	Raphaël	GLUCKSMANN	For	FR	France	SD	Progressive Alliance of Socialists and Democrats	S&D
197443	Andreas	GLÜCK	For	DE	Germany	RENEW	Renew Europe	Renew
840	Charles	GOERENS	For	LU	Luxembourg	RENEW	Renew Europe	Renew
197728	Mónica Silvana	GONZÁLEZ	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
197718	Nicolás	GONZÁLEZ CASARES	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
204419	Sandro	GOZI	For	FR	France	RENEW	Renew Europe	Renew
197799	Valentino	GRANT	Did Not Vote	IT	Italy	ID	Identity and Democracy	ID
124785	Maria	GRAPINI	For	RO	Romania	SD	Progressive Alliance of Socialists and Democrats	S&D
197549	Markéta	GREGOROVÁ	For	CZ	Czechia	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
94649	Catherine	GRISET	Against	FR	France	ID	Identity and Democracy	ID
197780	Bart	GROOTHUIS	For	NL	Netherlands	RENEW	Renew Europe	Renew
197452	Klemen	GROŠELJ	For	SI	Slovenia	RENEW	Renew Europe	Renew
197557	Christophe	GRUDLER	For	FR	France	RENEW	Renew Europe	Renew
204420	Claude	GRUFFAT	For	FR	France	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197618	Elisabetta	GUALMINI	For	IT	Italy	SD	Progressive Alliance of Socialists and Democrats	S&D
197645	Francisco	GUERREIRO	For	PT	Portugal	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197543	Bernard	GUETTA	For	FR	France	RENEW	Renew Europe	Renew
96952	Sylvie	GUILLAUME	For	FR	France	SD	Progressive Alliance of Socialists and Democrats	S&D
88715	José	GUSMÃO	For	PT	Portugal	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
198063	Márton	GYÖNGYÖSI	Did Not Vote	HU	Hungary	NI	Non-attached Members	Non-attached
23816	András	GYÜRK	Did Not Vote	HU	Hungary	NI	Non-attached Members	Non-attached
96830	Enikő	GYŐRI	Against	HU	Hungary	NI	Non-attached Members	Non-attached
28150	Kinga	GÁL	Against	HU	Hungary	NI	Non-attached Members	Non-attached
197702	Lina	GÁLVEZ	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
247709	Anja	HAGA	For	NL	Netherlands	EPP	European People’s Party	EPP
197444	Svenja	HAHN	For	DE	Germany	RENEW	Renew Europe	Renew
197457	Henrike	HAHN	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
198176	Roman	HAIDER	Against	AT	Austria	ID	Identity and Democracy	ID
34578	Robert	HAJŠEL	Did Not Vote	SK	Slovakia	SD	Progressive Alliance of Socialists and Democrats	S&D
197596	Teuvo	HAKKARAINEN	For	FI	Finland	ECR	European Conservatives and Reformists	ECR
197514	Andrzej	HALICKI	Did Not Vote	PL	Poland	EPP	European People’s Party	EPP
2054	Heidi	HAUTALA	For	FI	Finland	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197646	Mircea-Gheorghe	HAVA	For	RO	Romania	EPP	European People’s Party	EPP
135511	Valérie	HAYER	Did Not Vote	FR	France	RENEW	Renew Europe	Renew
125023	Anja	HAZEKAMP	Did Not Vote	NL	Netherlands	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
197682	Hannes	HEIDE	For	AT	Austria	SD	Progressive Alliance of Socialists and Democrats	S&D
197800	Eero	HEINÄLUOMA	For	FI	Finland	SD	Progressive Alliance of Socialists and Democrats	S&D
197412	Niclas	HERBST	For	DE	Germany	EPP	European People’s Party	EPP
197459	Pierrette	HERZBERGER-FOFANA	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
124586	Balázs	HIDVÉGHI	Against	HU	Hungary	NI	Non-attached Members	Non-attached
197526	Martin	HLAVÁČEK	Against	CZ	Czechia	RENEW	Renew Europe	Renew
96780	Monika	HOHLMEIER	Did Not Vote	DE	Germany	EPP	European People’s Party	EPP
197770	Martin	HOJSÍK	Abstain	SK	Slovakia	RENEW	Renew Europe	Renew
197398	Pär	HOLMGREN	For	SE	Sweden	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
122978	Alicia	HOMS GINEL	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
218349	Michiel	HOOGEVEEN	For	NL	Netherlands	ECR	European Conservatives and Reformists	ECR
5565	Brice	HORTEFEUX	Abstain	FR	France	EPP	European People’s Party	EPP
197846	Ivo	HRISTOV	For	BG	Bulgaria	SD	Progressive Alliance of Socialists and Democrats	S&D
58789	Jan	HUITEMA	For	NL	Netherlands	RENEW	Renew Europe	Renew
96752	Martin	HÄUSLING	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
124715	György	HÖLVÉNYI	Abstain	HU	Hungary	EPP	European People’s Party	EPP
96779	Danuta Maria	HÜBNER	Against	PL	Poland	EPP	European People’s Party	EPP
197624	Ivars	IJABS	For	LV	Latvia	RENEW	Renew Europe	Renew
221463	Ladislav	ILČIĆ	Did Not Vote	HR	Croatia	ECR	European Conservatives and Reformists	ECR
28266	Sophia	IN 'T VELD	For	NL	Netherlands	RENEW	Renew Europe	Renew
197392	Evin	INCIR	For	SE	Sweden	SD	Progressive Alliance of Socialists and Democrats	S&D
96772	Peter	JAHR	For	DE	Germany	EPP	European People’s Party	EPP
197837	Stasys	JAKELIŪNAS	Abstain	LT	Lithuania	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197516	Patryk	JAKI	Against	PL	Poland	ECR	European Conservatives and Reformists	ECR
124770	Jean-François	JALKH	Did Not Vote	FR	France	ID	Identity and Democracy	ID
189065	France	JAMET	Against	FR	France	ID	Identity and Democracy	ID
197517	Adam	JARUBAS	Against	PL	Poland	EPP	European People’s Party	EPP
112747	Romana	JERKOVIĆ	For	HR	Croatia	SD	Progressive Alliance of Socialists and Democrats	S&D
125021	Agnes	JONGERIUS	For	NL	Netherlands	SD	Progressive Alliance of Socialists and Democrats	S&D
197627	Virginie	JORON	Against	FR	France	ID	Identity and Democracy	ID
197447	Irena	JOVEVA	For	SI	Slovenia	RENEW	Renew Europe	Renew
197840	Rasa	JUKNEVIČIENĖ	For	LT	Lithuania	EPP	European People’s Party	EPP
197518	Krzysztof	JURGIEL	Against	PL	Poland	ECR	European Conservatives and Reformists	ECR
197767	Eugen	JURZYCA	For	SK	Slovakia	ECR	European Conservatives and Reformists	ECR
197626	Hervé	JUVIN	Against	FR	France	NI	Non-attached Members	Non-attached
28141	Lívia	JÁRÓKA	Did Not Vote	HU	Hungary	NI	Non-attached Members	Non-attached
125109	Eva	KAILI	For	GR	Greece	NI	Non-attached Members	Non-attached
96771	Jarosław	KALINOWSKI	Against	PL	Poland	EPP	European People’s Party	EPP
197491	Marina	KALJURAND	For	EE	Estonia	SD	Progressive Alliance of Socialists and Democrats	S&D
96934	Sandra	KALNIETE	For	LV	Latvia	EPP	European People’s Party	EPP
96837	Petra	KAMMEREVERT	Did Not Vote	DE	Germany	SD	Progressive Alliance of Socialists and Democrats	S&D
197839	Radan	KANEV	For	BG	Bulgaria	EPP	European People’s Party	EPP
197469	Assita	KANKO	For	BE	Belgium	ECR	European Conservatives and Reformists	ECR
4246	Othmar	KARAS	Did Not Vote	AT	Austria	EPP	European People’s Party	EPP
197585	Pierre	KARLESKIND	For	FR	France	RENEW	Renew Europe	Renew
197401	Karin	KARLSBRO	For	SE	Sweden	RENEW	Renew Europe	Renew
250237	Włodzimierz	KARPIŃSKI	Against	PL	Poland	EPP	European People’s Party	EPP
124887	Karol	KARSKI	Did Not Vote	PL	Poland	ECR	European Conservatives and Reformists	ECR
191693	Elsi	KATAINEN	For	FI	Finland	RENEW	Renew Europe	Renew
251268	Michael	KAUCH	For	DE	Germany	RENEW	Renew Europe	Renew
125068	Emmanouil	KEFALOGIANNIS	For	GR	Greece	EPP	European People’s Party	EPP
197818	Billy	KELLEHER	For	IE	Ireland	RENEW	Renew Europe	Renew
22858	Fabienne	KELLER	For	FR	France	RENEW	Renew Europe	Renew
96734	Ska	KELLER	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
96668	Seán	KELLY	For	IE	Ireland	EPP	European People’s Party	EPP
249603	Martine	KEMP	For	LU	Luxembourg	EPP	European People’s Party	EPP
197519	Beata	KEMPA	Against	PL	Poland	ECR	European Conservatives and Reformists	ECR
197415	Niyazi	KIZILYÜREK	Did Not Vote	CY	Cyprus	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
197520	Izabela-Helena	KLOC	Against	PL	Poland	ECR	European Conservatives and Reformists	ECR
197528	Ondřej	KNOTEK	Against	CZ	Czechia	RENEW	Renew Europe	Renew
197523	Łukasz	KOHUT	Abstain	PL	Poland	SD	Progressive Alliance of Socialists and Democrats	S&D
197406	Arba	KOKALARI	For	SE	Sweden	EPP	European People’s Party	EPP
197743	Petros	KOKKALIS	For	GR	Greece	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197546	Marcel	KOLAJA	For	CZ	Czechia	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197438	Mislav	KOLAKUŠIĆ	Did Not Vote	HR	Croatia	NI	Non-attached Members	Non-attached
23699	Kateřina	KONEČNÁ	Against	CZ	Czechia	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
197740	Athanasios	KONSTANTINOU	Did Not Vote	GR	Greece	NI	Non-attached Members	Non-attached
197525	Ewa	KOPACZ	Did Not Vote	PL	Poland	EPP	European People’s Party	EPP
197530	Joanna	KOPCIŃSKA	Against	PL	Poland	ECR	European Conservatives and Reformists	ECR
130833	Stelios	KOULOGLOU	Did Not Vote	GR	Greece	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
197699	Elena	KOUNTOURA	For	GR	Greece	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
97968	Andrey	KOVATCHEV	For	BG	Bulgaria	EPP	European People’s Party	EPP
118949	Ondřej	KOVAŘÍK	Did Not Vote	CZ	Czechia	RENEW	Renew Europe	Renew
197481	Maximilian	KRAH	Against	DE	Germany	ID	Identity and Democracy	ID
124891	Zdzisław	KRASNODĘBSKI	Against	PL	Poland	ECR	European Conservatives and Reformists	ECR
197532	Elżbieta	KRUK	Against	PL	Poland	ECR	European Conservatives and Reformists	ECR
197843	Andrius	KUBILIUS	For	LT	Lithuania	EPP	European People’s Party	EPP
197395	Alice	KUHNKE	For	SE	Sweden	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197482	Joachim	KUHS	Against	DE	Germany	ID	Identity and Democracy	ID
124735	Miapetra	KUMPULA-NATRI	For	FI	Finland	SD	Progressive Alliance of Socialists and Democrats	S&D
197692	Stelios	KYMPOUROPOULOS	Did Not Vote	GR	Greece	EPP	European People’s Party	EPP
125063	Georgios	KYRTSOS	For	GR	Greece	RENEW	Renew Europe	Renew
124866	Ilhan	KYUCHYUK	For	BG	Bulgaria	RENEW	Renew Europe	Renew
96829	Ádám	KÓSA	Against	HU	Hungary	NI	Non-attached Members	Non-attached
197445	Moritz	KÖRNER	For	DE	Germany	RENEW	Renew Europe	Renew
124822	Dietmar	KÖSTER	For	DE	Germany	SD	Progressive Alliance of Socialists and Democrats	S&D
204421	Jean-Lin	LACAPELLE	Against	FR	France	ID	Identity and Democracy	ID
197460	Sergey	LAGODINSKY	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197737	Ioannis	LAGOS	Did Not Vote	GR	Greece	NI	Non-attached Members	Non-attached
197697	Aurore	LALUCQ	For	FR	France	SD	Progressive Alliance of Socialists and Democrats	S&D
96648	Philippe	LAMBERTS	For	BE	Belgium	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
192635	Danilo Oscar	LANCINI	Against	IT	Italy	ID	Identity and Democracy	ID
1909	Bernd	LANGE	For	DE	Germany	SD	Progressive Alliance of Socialists and Democrats	S&D
197461	Katrin	LANGENSIEPEN	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197698	Pierre	LARROUTUROU	For	FR	France	SD	Progressive Alliance of Socialists and Democrats	S&D
230085	Camilla	LAURETI	For	IT	Italy	SD	Progressive Alliance of Socialists and Democrats	S&D
251859	Guy	LAVOCAT	For	FR	France	RENEW	Renew Europe	Renew
124738	Gilles	LEBRETON	Against	FR	France	ID	Identity and Democracy	ID
197393	David	LEGA	For	SE	Sweden	EPP	European People’s Party	EPP
96796	Ryszard Antoni	LEGUTKO	Against	PL	Poland	ECR	European Conservatives and Reformists	ECR
197635	Maria-Manuel	LEITÃO-MARQUES	For	PT	Portugal	SD	Progressive Alliance of Socialists and Democrats	S&D
95074	Jeroen	LENAERS	For	NL	Netherlands	EPP	European People’s Party	EPP
23781	Janusz	LEWANDOWSKI	For	PL	Poland	EPP	European People’s Party	EPP
204336	Miriam	LEXMANN	Abstain	SK	Slovakia	EPP	European People’s Party	EPP
23768	Bogusław	LIBERADZKI	For	PL	Poland	SD	Progressive Alliance of Socialists and Democrats	S&D
1927	Peter	LIESE	For	DE	Germany	EPP	European People’s Party	EPP
197483	Sylvia	LIMMER	Against	DE	Germany	ID	Identity and Democracy	ID
124808	Norbert	LINS	For	DE	Germany	EPP	European People’s Party	EPP
197611	Elena	LIZZI	Against	IT	Italy	ID	Identity and Democracy	ID
197494	Nathalie	LOISEAU	Did Not Vote	FR	France	RENEW	Renew Europe	Renew
228286	Karsten	LUCKE	For	DE	Germany	SD	Progressive Alliance of Socialists and Democrats	S&D
197721	César	LUENA	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
124996	Peter	LUNDGREN	For	SE	Sweden	ECR	European Conservatives and Reformists	ECR
197458	Benoît	LUTGEN	Abstain	BE	Belgium	EPP	European People’s Party	EPP
125042	Javi	LÓPEZ	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
96812	Juan Fernando	LÓPEZ AGUILAR	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
197777	Leopoldo	LÓPEZ GIL	Abstain	ES	Spain	EPP	European People’s Party	EPP
28399	Antonio	LÓPEZ-ISTÚRIZ WHITE	Abstain	ES	Spain	EPP	European People’s Party	EPP
96709	Morten	LØKKEGAARD	For	DK	Denmark	RENEW	Renew Europe	Renew
205452	Chris	MACMANUS	For	IE	Ireland	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
197493	Jaak	MADISON	Against	EE	Estonia	ID	Identity and Democracy	ID
197719	Cristina	MAESTRE	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
197653	Claudiu	MANDA	Did Not Vote	RO	Romania	SD	Progressive Alliance of Socialists and Democrats	S&D
4560	Antonius	MANDERS	For	NL	Netherlands	EPP	European People’s Party	EPP
190713	Lukas	MANDL	For	AT	Austria	EPP	European People’s Party	EPP
197623	Thierry	MARIANI	Against	FR	France	ID	Identity and Democracy	ID
33982	Marian-Jean	MARINESCU	For	RO	Romania	EPP	European People’s Party	EPP
209896	Colm	MARKEY	For	IE	Ireland	EPP	European People’s Party	EPP
197462	Erik	MARQUARDT	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197634	Pedro	MARQUES	Did Not Vote	PT	Portugal	SD	Progressive Alliance of Socialists and Democrats	S&D
197638	Margarida	MARQUES	For	PT	Portugal	SD	Progressive Alliance of Socialists and Democrats	S&D
124828	Fulvio	MARTUSCIELLO	Did Not Vote	IT	Italy	EPP	European People’s Party	EPP
249285	Lydie	MASSARD	For	FR	France	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197441	Predrag Fred	MATIĆ	For	HR	Croatia	SD	Progressive Alliance of Socialists and Democrats	S&D
96936	Gabriel	MATO	For	ES	Spain	EPP	European People’s Party	EPP
208722	Sara	MATTHIEU	For	BE	Belgium	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
24505	Emmanuel	MAUREL	Against	FR	France	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
124691	Costas	MAVRIDES	Did Not Vote	CY	Cyprus	SD	Progressive Alliance of Socialists and Democrats	S&D
197522	Radka	MAXOVÁ	For	CZ	Czechia	SD	Progressive Alliance of Socialists and Democrats	S&D
98341	Eva	MAYDELL	For	BG	Bulgaria	EPP	European People’s Party	EPP
38511	Georg	MAYER	Against	AT	Austria	ID	Identity and Democracy	ID
197538	Beata	MAZUREK	Against	PL	Poland	ECR	European Conservatives and Reformists	ECR
197841	Liudas	MAŽYLIS	For	LT	Lithuania	EPP	European People’s Party	EPP
124806	David	MCALLISTER	For	DE	Germany	EPP	European People’s Party	EPP
204418	Nora	MEBAREK	For	FR	France	SD	Progressive Alliance of Socialists and Democrats	S&D
197662	Vangelis	MEIMARAKIS	For	GR	Greece	EPP	European People’s Party	EPP
130256	Dace	MELBĀRDE	For	LV	Latvia	EPP	European People’s Party	EPP
197567	Karen	MELCHIOR	For	DK	Denmark	RENEW	Renew Europe	Renew
236053	Marina	MESURE	Against	FR	France	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
118859	Roberta	METSOLA	Did Not Vote	MT	Malta	EPP	European People’s Party	EPP
193292	Tilly	METZ	For	LU	Luxembourg	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
190518	Jörg	MEUTHEN	Against	DE	Germany	NI	Non-attached Members	Non-attached
120478	Martina	MICHELS	For	DE	Germany	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
125128	Iskra	MIHAYLOVA	Did Not Vote	BG	Bulgaria	RENEW	Renew Europe	Renew
249826	Jozef	MIHÁL	For	SK	Slovakia	RENEW	Renew Europe	Renew
197497	Sven	MIKSER	For	EE	Estonia	SD	Progressive Alliance of Socialists and Democrats	S&D
197824	Giuseppe	MILAZZO	Abstain	IT	Italy	ECR	European Conservatives and Reformists	ECR
197540	Leszek	MILLER	Abstain	PL	Poland	SD	Progressive Alliance of Socialists and Democrats	S&D
28400	Francisco José	MILLÁN MON	Abstain	ES	Spain	EPP	European People’s Party	EPP
236051	Eric	MINARDI	Did Not Vote	FR	France	ID	Identity and Democracy	ID
24942	Ana	MIRANDA PAZ	Did Not Vote	ES	Spain	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
212855	Alin	MITUȚA	For	RO	Romania	RENEW	Renew Europe	Renew
197805	Silvia	MODIG	Abstain	FI	Finland	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
124722	Csaba	MOLNÁR	For	HU	Hungary	SD	Progressive Alliance of Socialists and Democrats	S&D
