date,open,high,low,close,volume,adj
2000-01-03,107.492828,110.898659,106.95507,110.898659,10823694,64.057053
2000-01-04,108.98661800000001,109.46463,105.999046,107.134323,8606279,61.882683
2000-01-05,107.97084,114.483749,107.194077,110.898659,13318927,64.057053
2000-01-06,112.810707,113.706978,108.508606,108.98661800000001,8338607,62.952602
2000-01-07,112.093689,112.750954,105.76004,108.508606,12402108,62.676506
2000-01-10,112.093689,114.125237,110.301147,112.810707,8933363,65.161469
2000-01-11,112.691208,115.798279,111.496178,113.766731,8235472,65.713669
2000-01-12,114.364243,116.634796,113.049713,114.244743,7116775,65.989777
2000-01-13,114.663002,115.67878,110.659653,113.049713,8880226,65.299522
2000-01-14,115.619026,117.88958,112.332695,114.364243,11460604,66.058838
2000-01-18,114.423996,114.483749,109.942642,110.659653,7995519,63.918964
2000-01-19,110.4804,116.634796,107.731834,114.244743,9031687,65.989777
2000-01-20,117.59082,119.263863,113.766731,113.766731,18601436,65.713669
2000-01-21,116.515297,117.59082,114.663002,116.156792,8230660,67.094215
2000-01-24,116.515297,117.471321,111.436424,116.156792,6798163,67.094215
2000-01-25,111.615677,114.244743,110.898659,113.88623,7255997,65.782684
2000-01-26,113.826485,114.663002,110.898659,111.615677,5120275,64.471214
2000-01-27,112.810707,113.228966,106.716064,108.508606,8707532,62.676506
2000-01-28,107.791588,109.165871,105.222275,106.656311,6976192,61.606567
2000-01-31,106.477058,107.851341,104.804016,107.313576,6488024,61.986221
2000-02-01,107.433075,108.448853,104.326004,105.162521,7640716,60.743706
2000-02-02,107.07457,110.719406,105.521034,108.508606,8062254,62.676506
2000-02-03,109.942642,112.332695,109.046364,111.97419,6499635,64.678291
2000-02-04,112.98996,113.228966,109.76338199999999,110.540154,5653944,63.849949
2000-02-07,110.898659,111.735184,108.150093,109.106117,6045357,63.021637
2000-02-08,111.79493,113.766731,111.077919,113.587479,5715658,65.679207
2000-02-09,113.766731,114.483749,111.854683,112.213196,5621936,64.884552
2000-02-10,112.511948,113.88623,111.735184,113.88623,4651144,65.851921
2000-02-11,113.826485,114.18499,109.524376,110.301147,6013872,63.778931
2000-02-14,110.898659,111.257172,109.46463,110.958412,4753024,64.158997
2000-02-15,110.77916,112.272942,108.867111,111.97419,5415665,64.746376
2000-02-16,111.376671,112.153442,110.181641,110.659653,4149377,63.986244
2000-02-17,111.376671,113.647224,110.659653,111.615677,5478425,64.539078
