ex,time,lnex
1.18120002746582,1,0.166530892252922
1.17599999904633,2,0.162118852138519
1.16359996795654,3,0.151518613100052
1.16719996929169,4,0.154607698321342
1.1554000377655,5,0.144446641206741
1.15339994430542,6,0.14271405339241
1.15480005741119,7,0.143927216529846
1.16980004310608,8,0.156832829117775
1.16890001296997,9,0.156063139438629
1.15910005569458,10,0.147643893957138
1.16100001335144,11,0.149281710386276
1.15750002861023,12,0.146262526512146
1.15769994258881,13,0.146435230970383
1.15820002555847,14,0.146867096424103
1.15659999847412,15,0.145484670996666
1.15769994258881,16,0.146435230970383
1.14810001850128,17,0.138108417391777
1.13950002193451,18,0.130589589476585
1.13709998130798,19,0.128481149673462
1.13030004501343,20,0.122483126819134
1.1327999830246,21,0.124692432582378
1.13390004634857,22,0.125663056969643
1.13059997558594,23,0.12274844199419
1.12829995155334,24,0.120712034404278
1.12960004806519,25,0.121863633394241
1.12999999523163,26,0.122217625379562
1.1331000328064,27,0.124957270920277
1.13030004501343,28,0.122483126819134
1.1282000541687,29,0.120623491704464
1.1188999414444,30,0.112346008419991
1.12300002574921,31,0.116003699600697
1.12230002880096,32,0.115380175411701
1.10749995708466,33,0.102105185389519
1.10370004177094,34,0.098668210208416
1.09930002689362,35,0.0946736410260201
1.09720003604889,36,0.0927615165710449
1.10679996013641,37,0.101472936570644
1.09949994087219,38,0.0948554798960686
1.08910000324249,39,0.0853516682982445
1.09309995174408,40,0.0890176519751549
1.08879995346069,41,0.085076130926609
1.08239996433258,42,0.0791807621717453
1.08430004119873,43,0.0809346586465836
1.08990001678467,44,0.0860859677195549
1.08729994297028,45,0.0836975052952766
1.09609997272491,46,0.0917584002017975
1.09319996833801,47,0.0891091451048851
1.09360003471375,48,0.0894750356674194
1.09300005435944,49,0.0889262557029724
1.09150004386902,50,0.087552934885025
1.10150003433228,51,0.0966729149222374
1.09899997711182,52,0.0944006517529488
1.09230005741119,53,0.0882856175303459
1.09150004386902,54,0.087552934885025
1.09179997444153,55,0.0878276899456978
1.09210002422333,56,0.0881024673581123
1.0871000289917,57,0.0835136249661446
1.07430005073547,58,0.0716693326830864
1.07159996032715,59,0.0691528245806694
1.0731999874115,60,0.0706448256969452
1.08080005645752,61,0.077701561152935
1.07819998264313,62,0.0752929672598839
1.07819998264313,63,0.0752929672598839
1.0706000328064,64,0.0682192668318749
1.08379995822907,65,0.0804733484983444
1.07840001583099,66,0.0754784792661667
1.08350002765656,67,0.0801965668797493
1.07860004901886,68,0.0756639465689659
1.0842000246048,69,0.080842413008213
1.07799994945526,70,0.0751074254512787
1.07790005207062,71,0.0750147551298142
1.07169997692108,72,0.0692461505532265
1.06879997253418,73,0.0665365010499954
1.06079995632172,74,0.0590232983231545
1.06299996376038,75,0.0610950663685799
1.06120002269745,76,0.0594003647565842
1.05980002880096,77,0.0580802373588085
1.06340003013611,78,0.0614713504910469
1.05900001525879,79,0.057325080037117
1.06490004062653,80,0.0628809332847595
1.06159996986389,81,0.0597771741449833
1.05910003185272,82,0.0574195198714733
1.0563999414444,83,0.0548668466508389
1.05710005760193,84,0.0555293634533882
1.0592999458313,85,0.0576082617044449
1.07239997386932,86,0.0698991045355797
1.07790005207062,87,0.0750147551298142
1.07809996604919,88,0.0752002000808716
1.0786999464035,89,0.0757565647363663
1.07200002670288,90,0.0695260912179947
1.06659996509552,91,0.0644759833812714
1.06260001659393,92,0.0607187524437904
1.06500005722046,93,0.0629748553037643
1.06719994544983,94,0.0650383457541466
1.06719994544983,95,0.0650383457541466
1.06410002708435,96,0.0621293969452381
1.06299996376038,97,0.0610950663685799
1.05770003795624,98,0.0560967735946178
1.0592999458313,99,0.0576082617044449
1.05869996547699,100,0.0570417083799839
1.04709994792938,101,0.046024389564991
1.04390001296997,102,0.0429637134075165
1.04219996929169,103,0.0413338355720043
1.04489994049072,104,0.0439211316406727
1.03569996356964,105,0.0350774899125099
1.03550004959106,106,0.0348844490945339
1.03269994258881,107,0.0321766771376133
1.02960002422333,108,0.0291704013943672
1.04379999637604,109,0.0428678952157497
1.04499995708466,110,0.0440168455243111
1.04770004749298,111,0.0465973317623138
1.05159997940063,112,0.0503127947449684
1.04159998893738,113,0.0407579801976681
1.04200005531311,114,0.0411419980227947
1.02980005741119,115,0.0293646641075611
1.03289997577667,116,0.0323703549802303
1.03680002689362,117,0.0361390709877014
1.03229999542236,118,0.0317893177270889
1.03229999542236,119,0.0317893177270889
1.03159999847412,120,0.031110992655158
1.03719997406006,121,0.0365247502923012
1.04480004310608,122,0.0438255220651627
1.03729999065399,123,0.0366211757063866
1.03369998931885,124,0.0331445895135403
1.03100001811981,125,0.030529223382473
1.02359998226166,126,0.0233258083462715
1.02439999580383,127,0.0241070706397295
1.02489995956421,128,0.0245950073003769
1.02240002155304,129,0.0221528261899948
1.01979994773865,130,0.0196064785122871
1.01859998703003,131,0.0184291228652
1.0139000415802,132,0.0138043221086264
1.01760005950928,133,0.0174469724297524
1.02149999141693,134,0.0212721265852451
1.02199995517731,135,0.0217614471912384
1.02030003070831,136,0.0200967323035002
1.02030003070831,137,0.0200967323035002
1.04200005531311,138,0.0411419980227947
1.05260002613068,139,0.0512633174657822
1.05089998245239,140,0.0496469214558601
1.04970002174377,141,0.0485044308006763
1.0650999546051,142,0.063068650662899
1.06270003318787,143,0.0608128719031811
1.06439995765686,144,0.0624112188816071
1.07190001010895,145,0.0694327875971794
1.06939995288849,146,0.0670977011322975
1.06610000133514,147,0.0640071332454681
1.067999958992,148,0.0657877027988434
1.07659995555878,149,0.0738078877329826
