position,member.id,member.first_name,member.last_name,member.country.code,member.country.label,member.country.iso_alpha_2,member.group.code,member.group.label,member.group.short_label
VotePosition.FOR,197537,Alexandr,VONDRA,CZE,Czechia,CZ,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,96761,Axel,VOSS,DEU,Germany,DE,EPP,European People’s Party,EPP
VotePosition.DID_NOT_VOTE,125065,Elissavet,VOZEMBERG-VRIONIDI,GRC,Greece,GR,EPP,European People’s Party,EPP
VotePosition.FOR,197552,Veronika,VRECIONOVÁ,CZE,Czechia,CZ,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,197798,Lucia,VUOLO,ITA,Italy,IT,EPP,European People’s Party,EPP
VotePosition.FOR,204400,Adrián,VÁZQUEZ LÁZARA,ESP,Spain,ES,RENEW,Renew Europe,Renew
VotePosition.FOR,190464,Thomas,WAITZ,AUT,Austria,AT,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.AGAINST,197817,Mick,WALLACE,IRL,Ireland,IE,GUE_NGL,The Left in the European Parliament – GUE/NGL,GUE/NGL
VotePosition.DID_NOT_VOTE,197863,Maria,WALSH,IRL,Ireland,IE,EPP,European People’s Party,EPP
VotePosition.FOR,197429,Marion,WALSMANN,DEU,Germany,DE,EPP,European People’s Party,EPP
VotePosition.FOR,197405,Jörgen,WARBORN,SWE,Sweden,SE,EPP,European People’s Party,EPP
VotePosition.AGAINST,197566,Witold Jan,WASZCZYKOWSKI,POL,Poland,PL,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,28229,Manfred,WEBER,DEU,Germany,DE,EPP,European People’s Party,EPP
VotePosition.DID_NOT_VOTE,123562,Charlie,WEIMERS,SWE,Sweden,SE,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,197515,Pernille,WEISS,DNK,Denmark,DK,EPP,European People’s Party,EPP
VotePosition.FOR,2323,Rainer,WIELAND,DEU,Germany,DE,EPP,European People’s Party,EPP
VotePosition.FOR,197675,Sarah,WIENER,AUT,Austria,AT,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.FOR,214839,Emma,WIESNER,SWE,Sweden,SE,RENEW,Renew Europe,Renew
VotePosition.ABSTENTION,197769,Michal,WIEZIK,SVK,Slovakia,SK,RENEW,Renew Europe,Renew
VotePosition.FOR,39725,Iuliu,WINKLER,ROU,Romania,RO,EPP,European People’s Party,EPP
VotePosition.FOR,197652,Angelika,WINZIG,AUT,Austria,AT,EPP,European People’s Party,EPP
