position,member.id,member.first_name,member.last_name,member.country.code,member.country.label,member.country.iso_alpha_2,member.group.code,member.group.label,member.group.short_label
VotePosition.FOR,243979,Francesca,PEPPUCCI,ITA,Italy,IT,EPP,European People’s Party,EPP
VotePosition.FOR,197738,Lídia,PEREIRA,PRT,Portugal,PT,EPP,European People’s Party,EPP
VotePosition.ABSTENTION,197754,Sandra,PEREIRA,PRT,Portugal,PT,GUE_NGL,The Left in the European Parliament – GUE/NGL,GUE/NGL
VotePosition.FOR,197573,Kira Marie,PETER-HANSEN,DNK,Denmark,DK,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.FOR,124872,Morten,PETERSEN,DNK,Denmark,DK,RENEW,Renew Europe,Renew
VotePosition.FOR,124846,Pina,PICIERNO,ITA,Italy,IT,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,112744,Tonino,PICULA,HRV,Croatia,HR,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,28224,Markus,PIEPER,DEU,Germany,DE,EPP,European People’s Party,EPP
VotePosition.FOR,40599,Sirpa,PIETIKÄINEN,FIN,Finland,FI,EPP,European People’s Party,EPP
VotePosition.FOR,197619,Sabrina,PIGNEDOLI,ITA,Italy,IT,NI,Non-attached Members,Non-attached
VotePosition.ABSTENTION,136236,João,PIMENTA LOPES,PRT,Portugal,PT,GUE_NGL,The Left in the European Parliament – GUE/NGL,GUE/NGL
VotePosition.ABSTENTION,197828,Manu,PINEDA,ESP,Spain,ES,GUE_NGL,The Left in the European Parliament – GUE/NGL,GUE/NGL
VotePosition.FOR,197629,Maxette,PIRBAKAS,FRA,France,FR,NI,Non-attached Members,Non-attached
VotePosition.FOR,249443,Wolfram,PIRCHNER,AUT,Austria,AT,EPP,European People’s Party,EPP
VotePosition.FOR,197590,Giuliano,PISAPIA,ITA,Italy,IT,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,38595,Rovana,PLUMB,ROU,Romania,RO,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,197404,Jessica,POLFJÄRD,SWE,Sweden,SE,EPP,European People’s Party,EPP
VotePosition.ABSTENTION,197765,Peter,POLLÁK,SVK,Slovakia,SK,EPP,European People’s Party,EPP
VotePosition.FOR,124704,Stanislav,POLČÁK,CZE,Czechia,CZ,EPP,European People’s Party,EPP
VotePosition.DID_NOT_VOTE,204443,Clara,PONSATÍ OBIOLS,ESP,Spain,ES,NI,Non-attached Members,Non-attached
VotePosition.FOR,237320,Eva Maria,POPTCHEVA,ESP,Spain,ES,RENEW,Renew Europe,Renew
VotePosition.AGAINST,96801,Tomasz Piotr,PORĘBA,POL,Poland,PL,ECR,European Conservatives and Reformists,ECR
VotePosition.ABSTENTION,125706,Jiří,POSPÍŠIL,CZE,Czechia,CZ,EPP,European People’s Party,EPP
VotePosition.FOR,239972,Erik,POULSEN,DNK,Denmark,DK,RENEW,Renew Europe,Renew
VotePosition.ABSTENTION,197820,Nicola,PROCACCINI,ITA,Italy,IT,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,202351,Carles,PUIGDEMONT I CASAMAJÓ,ESP,Spain,ES,NI,Non-attached Members,Non-attached
VotePosition.FOR,197663,Dragoş,PÎSLARU,ROU,Romania,RO,RENEW,Renew Europe,Renew
VotePosition.DID_NOT_VOTE,197764,Miroslav,RADAČOVSKÝ,SVK,Slovakia,SK,NI,Non-attached Members,Non-attached
VotePosition.FOR,124850,Emil,RADEV,BGR,Bulgaria,BG,EPP,European People’s Party,EPP
VotePosition.FOR,188945,Dennis,RADTKE,DEU,Germany,DE,EPP,European People’s Party,EPP
VotePosition.FOR,197868,Samira,RAFAELA,NLD,Netherlands,NL,RENEW,Renew Europe,Renew
VotePosition.AGAINST,197544,Elżbieta,RAFALSKA,POL,Poland,PL,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,239973,Bergur Løkke,RASMUSSEN,DNK,Denmark,DK,RENEW,Renew Europe,Renew
VotePosition.FOR,96998,Evelyn,REGNER,AUT,Austria,AT,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.AGAINST,197488,Guido,REIL,DEU,Germany,DE,ID,Identity and Democracy,ID
VotePosition.FOR,103381,Terry,REINTKE,DEU,Germany,DE,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.FOR,229839,René,REPASI,DEU,Germany,DE,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.DID_NOT_VOTE,197413,Karlo,RESSLER,HRV,Croatia,HR,EPP,European People’s Party,EPP
VotePosition.FOR,218347,Thijs,REUTEN,NLD,Netherlands,NL,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,197832,Diana,RIBA I GINER,ESP,Spain,ES,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.FOR,4253,Frédérique,RIES,BEL,Belgium,BE,RENEW,Renew Europe,Renew
VotePosition.AGAINST,197787,Antonio Maria,RINALDI,ITA,Italy,IT,ID,Identity and Democracy,ID
VotePosition.FOR,229519,Catharina,RINZEMA,NLD,Netherlands,NL,RENEW,Renew Europe,Renew
VotePosition.FOR,206158,Manuela,RIPA,DEU,Germany,DE,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.FOR,96885,Dominique,RIQUET,FRA,France,FR,RENEW,Renew Europe,Renew
VotePosition.AGAINST,197615,Jérôme,RIVIÈRE,FRA,France,FR,NI,Non-attached Members,Non-attached
VotePosition.FOR,197801,Franco,ROBERTI,ITA,Italy,IT,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,254718,Anabela,RODRIGUES,PRT,Portugal,PT,GUE_NGL,The Left in the European Parliament – GUE/NGL,GUE/NGL
