date,sellrate
2020-10-14,9.5106844
2020-10-15,9.7319257
2020-10-16,9.53899898
2020-10-19,9.5106844
2020-10-20,9.51574442
2020-10-21,9.49152092
2020-10-22,9.49152092
2020-10-23,9.49152092
2020-10-26,9.49152092
2020-10-27,9.49152092
2020-10-28,9.49152092
2020-10-29,9.54707348
2020-11-02,9.614038
2020-11-03,9.55988502
2020-11-04,9.55094924
2020-11-05,9.43487023
2020-11-06,9.42337214
2020-11-09,9.28825884
2020-11-10,9.30591508
2020-11-11,9.3142049
2020-11-12,9.29611802
2020-11-13,9.34413438
2020-11-16,9.32217174
2020-11-17,9.28825884
2020-11-18,9.28825884
2020-11-19,9.31108276
2020-11-20,9.28825884
2020-11-23,9.2727558
2020-11-24,9.2727558
2020-11-25,9.2727558
2020-11-26,9.2727558
2020-11-27,9.2727558
2020-11-30,9.2727558
2020-12-01,9.2727558
2020-12-02,9.2727558
2020-12-03,9.2727558
2020-12-04,9.2727558
2020-12-07,9.2727558
2020-12-08,9.2727558
2020-12-09,9.10975856
2020-12-10,9.12278542
2020-12-11,9.10739004
2020-12-14,9.0773529
2020-12-15,9.06561796
2020-12-16,9.06561796
2020-12-17,9.06561796
2020-12-18,9.06561796
2020-12-21,9.06561796
2020-12-22,9.06561796
2020-12-23,9.06561796
2020-12-28,9.06561796
2020-12-29,9.06561796
2020-12-30,8.97496824
2021-01-04,8.79646796
2021-01-07,9.06561796
2021-01-08,9.06561796
2021-01-11,8.90918798
2021-01-12,8.91930802
2021-01-13,8.91564758
2021-01-14,8.96678608
2021-01-15,8.98411934
2021-01-18,9.06744818
2021-01-19,8.99811514
2021-01-20,9.00694326
2021-01-21,8.97335334
2021-01-22,8.97335334
2021-01-25,8.92264548
2021-01-26,8.97259972
2021-01-27,8.97259972
2021-01-28,9.0149101
2021-01-29,9.01447946
2021-02-01,9.03407358
2021-02-02,9.05356004
2021-02-03,9.06992436
2021-02-04,9.09910022
2021-02-05,9.09490148
2021-02-08,9.0504379
2021-02-09,9.0504379
2021-02-10,9.0504379
2021-02-11,9.0504379
2021-02-12,9.0504379
2021-02-15,9.0504379
2021-02-16,9.0504379
2021-02-17,9.0504379
2021-02-18,8.96463288
2021-02-19,8.96463288
2021-02-22,8.96463288
2021-02-23,8.96463288
2021-02-24,8.96463288
2021-02-25,8.96463288
2021-02-26,8.97109248
2021-03-01,9.11245006
2021-03-02,9.12020158
2021-03-03,9.12020158
2021-03-04,9.12020158
2021-03-05,9.18835036
2021-03-08,9.24734804
2021-03-09,9.20148488
2021-03-10,9.17898394
2021-03-11,9.12020158
