obs,tb3,tb6,time,time2
1981M01,15.0200004577637,14.0799999237061,1,1
1981M02,14.789999961853,14.0500001907349,2,4
1981M03,13.3599996566772,12.8100004196167,3,9
1981M04,13.6899995803833,13.4499998092651,4,16
1981M05,16.2999992370605,15.289999961853,5,25
1981M06,14.7299995422363,14.0900001525879,6,36
1981M07,14.9499998092651,14.7399997711182,7,49
1981M08,15.5100002288818,15.5200004577637,8,64
1981M09,14.6999998092651,14.9200000762939,9,81
1981M10,13.539999961853,13.8199996948242,10,100
1981M11,10.8599996566772,11.3000001907349,11,121
1981M12,10.8500003814697,11.5200004577637,12,144
1982M01,12.2799997329712,12.8299999237061,13,169
1982M02,13.4799995422363,13.6099996566772,14,196
1982M03,12.6800003051758,12.7700004577637,15,225
1982M04,12.6999998092651,12.8000001907349,16,256
1982M05,12.0900001525879,12.1599998474121,17,289
1982M06,12.4700002670288,12.6999998092651,18,324
1982M07,11.3500003814697,11.8800001144409,19,361
1982M08,8.68000030517578,9.88000011444092,20,400
1982M09,7.92000007629395,9.36999988555908,21,441
1982M10,7.71000003814697,8.28999996185303,22,484
1982M11,8.06999969482422,8.34000015258789,23,529
1982M12,7.94000005722046,8.15999984741211,24,576
1983M01,7.8600001335144,7.92999982833862,25,625
1983M02,8.10999965667725,8.22999954223633,26,676
1983M03,8.35000038146973,8.36999988555908,27,729
1983M04,8.21000003814697,8.30000019073486,28,784
1983M05,8.1899995803833,8.22000026702881,29,841
1983M06,8.78999996185303,8.89000034332275,30,900
1983M07,9.07999992370606,9.26000022888184,31,961
1983M08,9.34000015258789,9.51000022888184,32,1024
1983M09,9,9.14999961853027,33,1089
1983M10,8.64000034332275,8.82999992370606,34,1156
1983M11,8.76000022888184,8.93000030517578,35,1225
1983M12,9,9.17000007629395,36,1296
1984M01,8.89999961853027,9.01000022888184,37,1369
1984M02,9.09000015258789,9.18000030517578,38,1444
1984M03,9.52000045776367,9.65999984741211,39,1521
1984M04,9.6899995803833,9.84000015258789,40,1600
1984M05,9.82999992370606,10.3100004196167,41,1681
1984M06,9.86999988555908,10.5100002288818,42,1764
1984M07,10.1199998855591,10.5200004577637,43,1849
1984M08,10.4700002670288,10.6099996566772,44,1936
1984M09,10.3699998855591,10.4700002670288,45,2025
1984M10,9.73999977111816,9.86999988555908,46,2116
1984M11,8.60999965667725,8.8100004196167,47,2209
1984M12,8.0600004196167,8.27999973297119,48,2304
1985M01,7.76000022888184,8,49,2401
1985M02,8.27000045776367,8.39000034332275,50,2500
1985M03,8.52000045776367,8.89999961853027,51,2601
1985M04,7.94999980926514,8.22999954223633,52,2704
1985M05,7.48000001907349,7.65000009536743,53,2809
1985M06,6.94999980926514,7.09000015258789,54,2916
1985M07,7.07999992370606,7.19999980926514,55,3025
1985M08,7.1399998664856,7.32000017166138,56,3136
1985M09,7.09999990463257,7.26999998092651,57,3249
1985M10,7.15999984741211,7.32999992370606,58,3364
1985M11,7.23999977111816,7.30000019073486,59,3481
1985M12,7.09999990463257,7.1399998664856,60,3600
1986M01,7.07000017166138,7.15999984741211,61,3721
1986M02,7.05999994277954,7.1100001335144,62,3844
1986M03,6.55999994277954,6.57000017166138,63,3969
1986M04,6.05999994277954,6.07999992370606,64,4096
1986M05,6.15000009536743,6.19000005722046,65,4225
1986M06,6.21000003814697,6.26999998092651,66,4356
1986M07,5.82999992370606,5.8600001335144,67,4489
1986M08,5.53000020980835,5.55000019073486,68,4624
1986M09,5.21000003814697,5.34999990463257,69,4761
