date,close,time,lnclose
1/3/2000,115.625,1,4.75035238265991
1/4/2000,112.0625,2,4.71905660629272
1/5/2000,118.8125,3,4.77754640579224
1/6/2000,115,4,4.74493217468262
1/7/2000,113.5,5,4.73180294036865
1/10/2000,118.5,6,4.77491283416748
1/11/2000,119,7,4.77912330627441
1/12/2000,119.625,8,4.78436183929443
1/13/2000,118.25,9,4.7728009223938
1/14/2000,119.625,10,4.78436183929443
1/17/2000,116.5,11,4.7578911781311
1/18/2000,120.4375,12,4.79113101959229
1/19/2000,121.875,13,4.80299615859985
1/20/2000,121.5,14,4.79991436004639
1/21/2000,121.5,15,4.79991436004639
1/24/2000,119.125,16,4.78017330169678
1/25/2000,116.75,17,4.76003503799439
1/26/2000,113.5,18,4.73180294036865
1/27/2000,111.5625,19,4.7145848274231
1/28/2000,112.25,20,4.72072839736939
1/31/2000,109.9375,21,4.69991207122803
2/1/2000,113.5,22,4.73180294036865
2/2/2000,117.25,23,4.7643084526062
2/3/2000,115.625,24,4.75035238265991
2/4/2000,114.125,25,4.73729419708252
2/7/2000,119,26,4.77912330627441
2/8/2000,117.375,27,4.76537370681763
2/9/2000,119.125,28,4.78017330169678
2/10/2000,115.375,29,4.74818754196167
2/11/2000,116.0625,30,4.75412893295288
2/14/2000,117.125,31,4.7632417678833
2/15/2000,115.75,32,4.7514328956604
2/16/2000,116.75,33,4.76003503799439
2/17/2000,112.625,34,4.72406387329102
2/18/2000,111,35,4.70953035354614
2/21/2000,108.75,36,4.68905162811279
2/22/2000,109.8125,37,4.69877433776856
2/23/2000,105.75,38,4.66107797622681
2/24/2000,104.8125,39,4.65217304229736
2/25/2000,102.75,40,4.63229894638062
2/28/2000,100.5,41,4.61015748977661
2/29/2000,103.25,42,4.63715314865112
3/1/2000,109,43,4.6913480758667
3/2/2000,103.0625,44,4.63533544540405
3/3/2000,103.125,45,4.63594198226929
3/6/2000,106.125,46,4.66461753845215
3/7/2000,107.5625,47,4.67807197570801
3/8/2000,105.25,48,4.65633869171143
3/9/2000,107.6875,49,4.67923355102539
3/10/2000,108.9375,50,4.69077444076538
3/13/2000,107,51,4.67282867431641
3/14/2000,109,52,4.6913480758667
3/15/2000,110,53,4.70048046112061
3/16/2000,112.75,54,4.725172996521
3/17/2000,113.5,55,4.73180294036865
3/20/2000,114.25,56,4.73838901519775
3/21/2000,115.25,57,4.74710369110107
3/22/2000,121.5,58,4.79991436004639
3/23/2000,126.875,59,4.84320211410522
3/24/2000,122.5,60,4.8081111907959
3/27/2000,119.5,61,4.78331613540649
3/28/2000,122.5,62,4.8081111907959
3/29/2000,118,63,4.77068471908569
3/30/2000,122,64,4.80402088165283
3/31/2000,121.1875,65,4.79733896255493
4/3/2000,123.625,66,4.81725263595581
4/4/2000,122.75,67,4.81014966964722
4/5/2000,123.125,68,4.81319999694824
4/6/2000,122.125,69,4.80504512786865
4/7/2000,119,70,4.77912330627441
4/10/2000,113,71,4.72738790512085
4/11/2000,110.625,72,4.70614624023438
4/12/2000,105,73,4.65396022796631
4/13/2000,111.875,74,4.71738195419312
4/14/2000,111.5,75,4.71402454376221
4/17/2000,105,76,4.65396022796631
4/18/2000,104,77,4.64439105987549
4/19/2000,106.5,78,4.66814517974854
4/20/2000,112.125,79,4.71961450576782
4/21/2000,110.5,80,4.70501565933228
4/24/2000,110.4375,81,4.70444965362549
4/25/2000,111.5,82,4.71402454376221
4/26/2000,111.875,83,4.71738195419312
4/27/2000,111.375,84,4.71290302276611
4/28/2000,108.125,85,4.68328809738159
5/1/2000,107.625,86,4.6786527633667
5/2/2000,107.875,87,4.68097305297852
