pce,pdi,lnpce,lnpdi,time
2434.39990234375,2729.39990234375,7.79745578765869,7.91183710098267,1
2445.69995117187,2777.39990234375,7.80208683013916,7.92927026748657,2
2467.10009765625,2814.60009765625,7.81079864501953,7.94257545471191,3
2460.10009765625,2804.39990234375,7.8079571723938,7.93894481658936,4
2507.39990234375,2863.60009765625,7.82700157165527,7.95983505249023,5
2530.5,2904.60009765625,7.83617210388184,7.97405099868774,6
2550.69995117187,2916.39990234375,7.84412288665772,7.97810506820679,7
2593.19995117187,2946.80004882813,7.86064767837524,7.98847532272339,8
2627.60009765625,2965,7.8738260269165,7.99463224411011,9
2677.30004882812,2991.5,7.89256429672241,8.00353050231934,10
2718.39990234375,3053.60009765625,7.90779876708984,8.02407646179199,11
2781.69995117188,3175,7.93081760406494,8.06306266784668,12
2832,3210.5,7.94873857498169,8.07418155670166,13
2830.5,3240.30004882812,7.94820880889893,8.083420753479,14
2840.60009765625,3258.30004882812,7.9517707824707,8.08896064758301,15
2832.19995117188,3297.60009765625,7.9488091468811,8.10095024108887,16
2807.80004882812,3246.60009765625,7.94015645980835,8.08536338806152,17
2819,3219.89990234375,7.94413757324219,8.07710552215576,18
2831.60009765625,3231.10009765625,7.94859743118286,8.0805778503418,19
2790.80004882812,3217.30004882812,7.93408346176147,8.07629776000977,20
2814.60009765625,3205.69995117188,7.94257545471191,8.07268619537354,21
2860.5,3354.60009765625,7.9587516784668,8.11808776855469,22
2901.19995117188,3309.10009765625,7.9728798866272,8.10443115234375,23
2931.39990234375,3342,7.98323535919189,8.11432456970215,24
2989.69995117187,3390.89990234375,8.00292873382568,8.12885093688965,25
3016.30004882812,3417.5,8.01178646087647,8.13666439056397,26
3047.89990234375,3448,8.02220821380615,8.14554977416992,27
3088,3473,8.03527927398682,8.1527738571167,28
3124.60009765625,3479.69995117188,8.04706192016602,8.15470123291016,29
3141.5,3517.39990234375,8.05245590209961,8.16547775268555,30
3171.39990234375,3570.60009765625,8.06192874908447,8.18048858642578,31
3219.10009765625,3642.10009765625,8.0768575668335,8.20031547546387,32
3237.30004882812,3663.5,8.08249473571777,8.20617389678955,33
3306.39990234375,3706.30004882812,8.10361480712891,8.21778964996338,34
3320.80004882812,3737.60009765625,8.10796070098877,8.22619915008545,35
3347.80004882812,3768.30004882812,8.11605834960938,8.23437881469727,36
3365.30004882812,3811.69995117187,8.12127208709717,8.24583053588867,37
3364,3785.19995117187,8.12088584899902,8.23885440826416,38
3397.30004882812,3807.19995117187,8.13073635101318,8.24464893341064,39
3407.10009765625,3841.5,8.13361644744873,8.25361824035645,40
3401.69995117187,3869.39990234375,8.13203048706055,8.26085472106934,41
3325.80004882813,3800,8.10946559906006,8.24275588989258,42
3362,3839,8.1202917098999,8.25296688079834,43
3406.80004882813,3920.80004882812,8.13352870941162,8.27405071258545,44
3421.30004882812,3905.69995117187,8.13777542114258,8.27019214630127,45
3422.10009765625,3915,8.13801002502441,8.27257061004639,46
3435.69995117187,4003.10009765625,8.14197635650635,8.29482460021973,47
3409.69995117187,4012.80004882813,8.13437938690186,8.29724407196045,48
3432.19995117187,4013.30004882813,8.14095687866211,8.2973690032959,49
3444.30004882812,4041.89990234375,8.14447593688965,8.30447006225586,50
3470.80004882813,4059.30004882813,8.15214061737061,8.30876541137695,51
3533.89990234375,4066.19995117188,8.17015743255615,8.31046390533447,52
3568.5,4100.39990234375,8.17990016937256,8.31884002685547,53
3639.5,4132.7001953125,8.19960117340088,8.32668590545654,54
3704.10009765625,4191.60009765625,8.21719551086426,8.3408374786377,55
3762.5,4286.5,8.23283863067627,8.36322593688965,56
3794.89990234375,4385.5,8.24141311645508,8.38605880737305,57
3849.30004882813,4467,8.25564670562744,8.40447235107422,58
3879.10009765625,4539.7998046875,8.2633581161499,8.42063808441162,59
3930.19995117187,4583.89990234375,8.27644538879395,8.43030548095703,60
3996.19995117187,4580,8.29309940338135,8.42945384979248,61
4032.60009765625,4673.39990234375,8.30216693878174,8.44964218139648,62
4109.10009765625,4640.39990234375,8.32095909118652,8.44255542755127,63
4118.39990234375,4688,8.32322025299072,8.45276165008545,64
4152.7001953125,4744.2001953125,8.33151435852051,8.46467781066895,65
4196.7001953125,4793.7998046875,8.34205341339111,8.47507858276367,66
4269.5,4813.60009765625,8.35925197601318,8.47920036315918,67
4296.7001953125,4813.39990234375,8.36560249328613,8.47915935516357,68
4298.60009765625,4854.60009765625,8.36604499816895,8.4876823425293,69
4357.2998046875,4802.2998046875,8.37960815429688,8.47685050964356,70
4406.2998046875,4887.2998046875,8.39079093933106,8.49439525604248,71
4417.10009765625,4954.10009765625,8.39323902130127,8.50797080993652,72
4490.60009765625,5016.89990234375,8.40974140167236,8.52056789398193,73
4522.7001953125,5061.2998046875,8.4168643951416,8.52937889099121,74
4560.5,5103.2998046875,8.42518711090088,8.53764247894287,75
4614,5149.2001953125,8.43685054779053,8.54659652709961,76
4631.2001953125,5216.2998046875,8.44057178497314,8.55954360961914,77
4653,5199.10009765625,8.44526767730713,8.55624103546143,78
4697.2998046875,5224.89990234375,8.45474338531494,8.56119060516357,79
4718.7998046875,5259.89990234375,8.45930957794189,8.56786727905273,80
4757.10009765625,5307.89990234375,8.46739387512207,8.57695198059082,81
4773,5338.7001953125,8.47073078155518,8.58273792266846,82
4792.60009765625,5343.60009765625,8.47482872009277,8.58365440368652,83
4758.2998046875,5306.60009765625,8.4676456451416,8.5767068862915,84
4738.10009765625,5310.5,8.46339130401611,8.57744121551514,85
4779.39990234375,5347.10009765625,8.47207069396973,8.58430957794189,86
